State,Date,Value,Anomaly
Minnesota,202204,41.8,1.7
Mississippi,201504,63.3,-0.3
Mississippi,201604,66.1,2.5
Mississippi,201704,67.4,3.8
Mississippi,201804,63.7,0.1
Mississippi,201904,65.3,1.7
Mississippi,202004,66,2.4
Mississippi,202104,64.2,0.6
Mississippi,202204,65,1.4
Missouri,201504,53.9,-0.6
Missouri,201604,57.4,2.9
Missouri,201704,58.2,3.7
Missouri,201804,54.5,0
Missouri,201904,55.7,1.2
Missouri,202004,55.8,1.3
Missouri,202104,54.9,0.4
Missouri,202204,56.1,1.6
Montana,201504,43.9,2.8
Montana,201604,45.3,4.2
Montana,201704,42.9,1.8
Montana,201804,41.6,0.5
Montana,201904,41.1,0
Montana,202004,41.7,0.6
Montana,202104,43.1,2
Montana,202204,43.7,2.6
Nebraska,201504,49.4,1
Nebraska,201604,51.5,3.1
Nebraska,201704,51.4,3
Nebraska,201804,48.4,0
Nebraska,201904,48.3,-0.1
Nebraska,202004,49.1,0.7
Nebraska,202104,49.8,1.4
Nebraska,202204,51.2,2.8
Nevada,201504,53.6,4.1
Nevada,201604,51.8,2.3
Nevada,201704,51.6,2.1
Nevada,201804,52.4,2.9
Nevada,201904,51.4,1.9
Nevada,202004,50.4,0.9
Nevada,202104,52.2,2.7
Nevada,202204,52.6,3.1
New Hampshire,201504,42.2,-0.1
New Hampshire,201604,46.7,4.4
New Hampshire,201704,45.7,3.4
New Hampshire,201804,44.1,1.8
New Hampshire,201904,44,1.7
New Hampshire,202004,44.4,2.1
New Hampshire,202104,45.6,3.3
New Hampshire,202204,45.5,3.2
New Jersey,201504,51.6,0.1
New Jersey,201604,56.2,4.7
New Jersey,201704,55.5,4
New Jersey,201804,53.2,1.7
New Jersey,201904,54.6,3.1
New Jersey,202004,55.2,3.7
New Jersey,202104,54.8,3.3
New Jersey,202204,54.8,3.3
New Mexico,201504,54.8,2
New Mexico,201604,54.9,2.1
New Mexico,201704,56.3,3.5
New Mexico,201804,55.9,3.1
New Mexico,201904,54.9,2.1
New Mexico,202004,54.8,2
New Mexico,202104,55.4,2.6
New Mexico,202204,55.4,2.6
New York,201504,43.8,-0.7
New York,201604,48.6,4.1
New York,201704,48.2,3.7
New York,201804,45.3,0.8
New York,201904,46.3,1.8
New York,202004,46.5,2
New York,202104,47.3,2.8
New York,202204,46.9,2.4
North Carolina,201504,58.5,0
North Carolina,201604,61.5,3
North Carolina,201704,62,3.5
North Carolina,201804,59.4,0.9
North Carolina,201904,61.2,2.7
North Carolina,202004,61.8,3.3
North Carolina,202104,59.8,1.3
North Carolina,202204,60.4,1.9
North Dakota,201504,41.2,1.5
North Dakota,201604,44.8,5.1
North Dakota,201704,43,3.3
North Dakota,201804,39.8,0.1
North Dakota,201904,39.3,-0.4
North Dakota,202004,40.4,0.7
North Dakota,202104,42.7,3
North Dakota,202204,41.7,2
Ohio,201504,49.3,-1.1
Ohio,201604,54,3.6
Ohio,201704,54.8,4.4
Ohio,201804,50.8,0.4
Ohio,201904,52.7,2.3
Ohio,202004,53.3,2.9
Ohio,202104,52.4,2
Ohio,202204,52.7,2.3
Oklahoma,201504,59.7,0
Oklahoma,201604,62,2.3
